suburb,state,type,lga,num_page_by_lga,policy_names_by_lga
Winton North,VIC,Rural locality,Benalla,57,"['Climate Change Adaptation Action Plan 2013-2025 Information sheet', 'Council Plan 2021-2025 ', 'BRCC Action Plan 2021-25 to June 2023', 'We Live in a Changing Climate Information sheet']"
Codrington,NSW,Rural locality,Richmond Valley,27,['Sustainable Communities Strategy 2023-2028']
Victoria Valley,VIC,Rural locality,Southern Grampians,44,['Climate Adaptation Plan 2017-2027 FINAL']
Walkerville North,VIC,Rural locality,South Gippsland,100,"['Environmental-Sustainbility-Strategy-Framework-Adopted-16-June-2021', 'Council-Plan-2022-2026-2023-24-Initiatives', 'Climate-Change-Action-Plan', 'Coastal-Strategy']"
Woodstock,VIC,Rural locality,Whittlesea,142,"['climate-change-plan', 'sustainable-environment-action-plan-2022-2024', 'climate-ready-whittlesea-final', 'council-zero-net-emissions-2022-plan', 'lga_CityofWhittlesea_20231001_advocacy-prospectus-august-2023', 'biodiversity-strategy-final']"
Collie,NSW,Rural locality,Gilgandra,19,['2021-22-Annual-report-NCCP']
Rosebud,VIC,Major Urban locality,Mornington Peninsula,212,"['Climate Emergency Plan Ensuring Our Future Our Climate Emergency Response', 'CEP - Progress report 2022 - Final', 'Climate Emergency Advocacy Report 2022-23']"
Sandy Creek,VIC,Rural locality,Indigo,165,"['Climate-Change-Policy-2019', 'Indigo-Shire-Council-Plan-2021-2025', 'Municipal-Public-Health-and-Wellbeing-Action-Plan-2021-2025', 'Climate-emergency-strategic-action-plan', 'INDIGO-CLIMATE-CHANGE-ADAPTION-ACTION-PLAN-2017-21', 'Towards-Certified-Net-Zero-Indigo-Shire-Council', 'Greenhouse-Action-Plan', 'ENVIRONMENT-STRATEGY']"
Wulgulmerang West,VIC,Rural locality,East Gippsland,83,"['Environmental Sustainbility Strategy', 'Environmental Sustainability Action Plan - 2022-26']"
Yarrawonga,VIC,Urban locality,Moira,61,"['Preparing for Climate Change in the Moira Shire', 'Moira Environmental Sustainability Strategy 2022-26 - Focus-Area-4']"
Coolangatta,NSW,Rural locality,Shoalhaven,5,['Sustainability and Climate Policy']
Simson,VIC,Rural locality,Central Goldfields,111,"['Central Goldfields Climate Action Plan 2022-2030', 'Climate Conversation Report Oct 2022', 'CGSC Climate Action Plan Report v B.0', 'Central Goldfields Shire Climate Action Plans Summary Factsheet']"
Barcaldine,QLD,Urban locality,Barcaldine,3,['Environmental Management NCCP']
Simpson,VIC,Rural locality,Corangamite,93,"['Corangamite Shire Environment & Sustainability Strategy 2014-2019', 'Urban Street Trees Management Policy', 'Community Vision Plan 2040']"
Tanjil,VIC,Rural locality,Baw Baw,82,"['Council Plan 2021-2025 Annual review 2023-2024', 'Environmental Sustainability Strategy 2022-2030', 'Building Resistance Guide BBSC']"
Tanjil South,VIC,Rural locality,Baw Baw,82,"['Council Plan 2021-2025 Annual review 2023-2024', 'Environmental Sustainability Strategy 2022-2030', 'Building Resistance Guide BBSC']"
Ryans,VIC,Rural locality,East Gippsland,83,"['Environmental Sustainbility Strategy', 'Environmental Sustainability Action Plan - 2022-26']"
Dural,NSW,Rural locality,Singleton,8,['Singleton Sustainability Strategy 2019 - 2027']
Upper Caboolture,QLD,Rural locality,Moreton Bay,88,"['environment-and-sustainability-strategy', 'the-coporate-plan-2022-27-our-healthy-environments', 'climate-change-policy']"
Caloundra,QLD,Major Urban locality,Sunshine Coast,367,"['Sunshine-Coast-Council-And-Climate-Change-Factsheet', 'Zero-net-Emissions-Plan-2022', 'Environment-and-Liveability-Strategy-2017-Part-A', 'Environment-and-Liveability-Strategy-2017-Part-B', 'Environment-and-Liveability-Strategy-2017-Part-C', 'Coastal-Management-Policy']"
Upper Ryans Creek,VIC,Rural locality,Benalla,57,"['Climate Change Adaptation Action Plan 2013-2025 Information sheet', 'Council Plan 2021-2025 ', 'BRCC Action Plan 2021-25 to June 2023', 'We Live in a Changing Climate Information sheet']"
Carwell,NSW,Rural locality,Mid-Western Regional,92,['2022 Annual Report - NCCP']
Cape Conway,QLD,Rural locality,Whitsunday,48,"['Climate Change Adaptation Policy', '11-ClimateAdaptationStrategy2016-2020', 'Climate Change Mitigation Strategy', 'Cilmate Change Mitigation Policy']"
Conway,QLD,Rural locality,Whitsunday,48,"['Climate Change Adaptation Policy', '11-ClimateAdaptationStrategy2016-2020', 'Climate Change Mitigation Strategy', 'Cilmate Change Mitigation Policy']"
Elderslie,NSW,Rural locality,Singleton,8,['Singleton Sustainability Strategy 2019 - 2027']
Wandong,VIC,Urban locality,Mitchell,114,"['MSC-Environment-Policy', 'ESD-For-Council-Buildings-Policy', 'MSC-Waste-Strategy-2030', 'Mitchell-Environment-Strategy']"
Wulgulmerang,VIC,Rural locality,East Gippsland,83,"['Environmental Sustainbility Strategy', 'Environmental Sustainability Action Plan - 2022-26']"
Cowley,QLD,Rural locality,Cassowary Coast,90,"['Reef Guardian Cassowary Coast Regional Council Action Plan 2023', 'Liveable Cassowary Coast Regional Council Community Plan Lifestyle and Wellbeing Profile Report', 'Liveable Cassowary Coast Plan 2020 Action Plans']"
Wulgulmerang East,VIC,Rural locality,East Gippsland,83,"['Environmental Sustainbility Strategy', 'Environmental Sustainability Action Plan - 2022-26']"
The Dimonds,QLD,Rural locality,Fraser Coast,91,"['Threatened-species-action-plan-2019', 'Marine-Turtles-A4', 'Wood-Encouragement-Council-Policy', 'Marine-Values-A4', 'Unauthorised-Vegetation-Damage-on-Council-Land-Council-Policy', '2022-23-Operational-Plan']"
Dunn Rock,WA,Rural locality,Lake Grace,258,['Policy Manual -2022 NCCP']
Dunnrock,QLD,Rural locality,Mackay,55,"['Climate-Change-Policy-089', 'Environmental-Sustainability-Strategy-PartsA,BandC', 'Environmental-Sustainability-Strategy-PartD-Action-Plan']"
Wirrate,VIC,Rural locality,Strathbogie,87,"['Item - 9.2.6 Attachment-1-Climate-Change-Action-Plan', 'FAQs and Key Informant Insights Young', 'Sustainable Strathbogie 2030']"
Glastonbury,QLD,Rural locality,Gympie,47,"['Climate Change Policy   ', 'Biodiveristy Position Paper', 'Environment Strategy 2018']"
Goldfields,QLD,Rural locality,Southern Downs,64,"['Southern-Downs-Environmental-Sustainability-StrategyFINAL', 'ESS-Action-Plan', 'Climate-Change-Adaptation-Action-Plan']"
Goorganga Creek,QLD,Rural locality,Whitsunday,48,"['Climate Change Adaptation Policy', '11-ClimateAdaptationStrategy2016-2020', 'Climate Change Mitigation Strategy', 'Cilmate Change Mitigation Policy']"
Wy Yung,VIC,Urban locality,East Gippsland,83,"['Environmental Sustainbility Strategy', 'Environmental Sustainability Action Plan - 2022-26']"
Yeungroon,VIC,Rural locality,Buloke,59,"['Buloke Shire Climate Change Mitigation Adaptation Report', 'Buloke Shire Climate Action Plan ']"
Yeungroon East,VIC,Rural locality,Buloke,59,"['Buloke Shire Climate Change Mitigation Adaptation Report', 'Buloke Shire Climate Action Plan ']"
Image Flat,QLD,Rural locality,Sunshine Coast,367,"['Sunshine-Coast-Council-And-Climate-Change-Factsheet', 'Zero-net-Emissions-Plan-2022', 'Environment-and-Liveability-Strategy-2017-Part-A', 'Environment-and-Liveability-Strategy-2017-Part-B', 'Environment-and-Liveability-Strategy-2017-Part-C', 'Coastal-Management-Policy']"
Missen Flat,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Bauple,QLD,Rural locality,Fraser Coast,91,"['Threatened-species-action-plan-2019', 'Marine-Turtles-A4', 'Wood-Encouragement-Council-Policy', 'Marine-Values-A4', 'Unauthorised-Vegetation-Damage-on-Council-Land-Council-Policy', '2022-23-Operational-Plan']"
Bauple Forest,QLD,Rural locality,Fraser Coast,91,"['Threatened-species-action-plan-2019', 'Marine-Turtles-A4', 'Wood-Encouragement-Council-Policy', 'Marine-Values-A4', 'Unauthorised-Vegetation-Damage-on-Council-Land-Council-Policy', '2022-23-Operational-Plan']"
The Bluff,QLD,Rural locality,Ipswich,240,"['EM-Natural-Hazards-Booklet', 'Annual-Plan 2023-2024', 'Sustainability-Strategy', 'Natural-Environment-Policy', 'Sustainability-Policy']"
Bluff,QLD,Rural locality,Central Highlands,93,['Annual-Report-2021-2022-NCCP']
Mountain Camp,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Camp Mountain,QLD,Rural locality,Moreton Bay,88,"['environment-and-sustainability-strategy', 'the-coporate-plan-2022-27-our-healthy-environments', 'climate-change-policy']"
Ellangowan,NSW,Rural locality,Richmond Valley,27,['Sustainable Communities Strategy 2023-2028']
Miles,QLD,Urban locality,Western Downs,49,['final-wdrc-annual-report-2021-22NCCP']
Esk,NSW,Rural locality,Richmond Valley,27,['Sustainable Communities Strategy 2023-2028']
Ulooloo,SA,Rural locality,Goyder,94,['Goyder Master Plan 2022-2037']
Moraby,QLD,Rural locality,Western Downs,49,['final-wdrc-annual-report-2021-22NCCP']
Dwarda,WA,Rural locality,Wandering,172,['Shire-of-Wandering-Policy-Manual-Latest-Version-NCCP']
Mount Edwards,QLD,Rural locality,Scenic Rim,71,"['CLIMATE-CHANGE-STATEMENT-OF-INTENT', 'Scenic-Rim-Biodiversity-Strategy', 'Community-Plan-2011-2016-CCS-Agenda-18-Sept-2018']"
Cooloola,QLD,Rural locality,Gympie,47,"['Climate Change Policy   ', 'Biodiveristy Position Paper', 'Environment Strategy 2018']"
Cooloola Cove,QLD,Urban locality,Gympie,47,"['Climate Change Policy   ', 'Biodiveristy Position Paper', 'Environment Strategy 2018']"
Kilcoy,QLD,Urban locality,Somerset,17,['INDEX Policies Somerset Regional Council - NCCP']
Mount Lindsey,NSW,Rural locality,Wingecarribee,60,"['Climate-Change-Adaptation-Plan-Summary', 'WSC-Urban-Tree-Policy-Adopted-23-May-2018', 'WSC-Environment-Policy-Adopted-Dec-2017', 'Wingecarribee-Environment-Strategy-2012-2017']"
Cornwall,QLD,Rural locality,Maranoa,214,['Annual Report 2021-22 NCCP']
Crystal Brook,QLD,Rural locality,Whitsunday,48,"['Climate Change Adaptation Policy', '11-ClimateAdaptationStrategy2016-2020', 'Climate Change Mitigation Strategy', 'Cilmate Change Mitigation Policy']"
Elaman Creek,QLD,Rural locality,Sunshine Coast,367,"['Sunshine-Coast-Council-And-Climate-Change-Factsheet', 'Zero-net-Emissions-Plan-2022', 'Environment-and-Liveability-Strategy-2017-Part-A', 'Environment-and-Liveability-Strategy-2017-Part-B', 'Environment-and-Liveability-Strategy-2017-Part-C', 'Coastal-Management-Policy']"
Barooga,NSW,Rural locality,Berrigan,15,['Berrigan Shire Council Strategic Risk Plan']
Greenlands,NSW,Rural locality,Singleton,8,['Singleton Sustainability Strategy 2019 - 2027']
Upper Murray,WA,Rural locality,Boddington,48,['Council Plan']
Hodgson,QLD,Rural locality,Maranoa,214,['Annual Report 2021-22 NCCP']
Ando,NSW,Rural locality,Snowy Monaro Regional,104,['annual-report-2021-2022NCCP']
Beaumont,NSW,Rural locality,Shoalhaven,5,['Sustainability and Climate Policy']
Hodgson Vale,QLD,Major Urban locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Howitt,QLD,Rural locality,Carpentaria,164,"['Carpentaria Shire Coastal Hazard Adaptation Strategy', 'Carpentaria Shire Coastal Hazard Adaptation Strategy Supplement A Factsheets and Project Updates v2', 'Carpentaria Shire Coastal Hazard Adaptation Strategy Our Shared Values', 'Carpentaria Shire Local Disaster Management Plan AUG22-1']"
Upper Pinelands,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Howitt Plains,VIC,Rural locality,Mansfield,41,['Climate Action Plan']
Jackson,QLD,Rural locality,Maranoa,214,['Annual Report 2021-22 NCCP']
Jackson South,QLD,Rural locality,Maranoa,214,['Annual Report 2021-22 NCCP']
Howick,NSW,Rural locality,Singleton,8,['Singleton Sustainability Strategy 2019 - 2027']
Reedy,WA,Rural locality,Cue,95,['POLICY MANUAL 2020 Updated 1 Aug 2022 NCCP']
Running Creek,QLD,Rural locality,Scenic Rim,71,"['CLIMATE-CHANGE-STATEMENT-OF-INTENT', 'Scenic-Rim-Biodiversity-Strategy', 'Community-Plan-2011-2016-CCS-Agenda-18-Sept-2018']"
Marys Creek,QLD,Rural locality,Gympie,47,"['Climate Change Policy   ', 'Biodiveristy Position Paper', 'Environment Strategy 2018']"
Barinia,SA,Rural locality,Clare and Gilbert Valleys,351,"['CommunityEmergencyManagementPolicy', '19 July 2023 PUBLIC Ordinary Council Meeting agenda', 'Annual Business Plan 2023-2024']"
Sabine,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Macalister,QLD,Rural locality,Western Downs,49,['final-wdrc-annual-report-2021-22NCCP']
Dungeree,NSW,Rural locality,Mid-Western Regional,92,['2022 Annual Report - NCCP']
Anthony,QLD,Rural locality,Scenic Rim,71,"['CLIMATE-CHANGE-STATEMENT-OF-INTENT', 'Scenic-Rim-Biodiversity-Strategy', 'Community-Plan-2011-2016-CCS-Agenda-18-Sept-2018']"
Irymple,NSW,Rural locality,Cobar,20,['Community Strategic Plan Cobar Shire 2025']
Darr Creek,QLD,Rural locality,Western Downs,49,['final-wdrc-annual-report-2021-22NCCP']
Sarina,QLD,Urban locality,Mackay,55,"['Climate-Change-Policy-089', 'Environmental-Sustainability-Strategy-PartsA,BandC', 'Environmental-Sustainability-Strategy-PartD-Action-Plan']"
Exton,TAS,Rural locality,Meander Valley,168,['May-2023-MVC-Policy-Manual']
Sexton,QLD,Rural locality,Gympie,47,"['Climate Change Policy   ', 'Biodiveristy Position Paper', 'Environment Strategy 2018']"
Sheldon,QLD,Major Urban locality,Redland,254,"['Green-Living-Policy', 'Climate-Change-Risk-Assessment-Adaptation-Plan', 'Conservation-Land-Management-Strategy', 'Redland-Koala-Conservation-Strategy-2016']"
Millwood,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Sladevale,QLD,Rural locality,Southern Downs,64,"['Southern-Downs-Environmental-Sustainability-StrategyFINAL', 'ESS-Action-Plan', 'Climate-Change-Adaptation-Action-Plan']"
Milford,QLD,Rural locality,Scenic Rim,71,"['CLIMATE-CHANGE-STATEMENT-OF-INTENT', 'Scenic-Rim-Biodiversity-Strategy', 'Community-Plan-2011-2016-CCS-Agenda-18-Sept-2018']"
Winfield,QLD,Rural locality,Bundaberg,45,"['ECO-Certification-Incentive-Scheme-Policy', 'Towards-Net-Zero-Bundaberg-and-FAQ', 'Towards-Net-Zero-Bundaberg-Policy-V1.1', 'Sustainable-Bundaberg-2030-Strategy']"
Soldiers Hill,QLD,Urban locality,Mount Isa,38,['Mount-Isa-Annual-Report-NCCP']
Leydens Hill,QLD,Rural locality,Rockhampton,73,"['RRC-Sustainability-Strategy-2022-2030', 'RRC-ES-FY22-23-Year-in-Review', 'RRC-Environmental-Sustainability-Strategy-Year-in-Review-2021-22', 'Environmental-Sustainability-Policy-V3-Reviewed-10-December-2019', 'Fleet-Vehicle-Greenhouse-Gas-Emissions-Reduction-Policy-V2-Reviewed-18-December-2019']"
Orange Hill,QLD,Rural locality,Maranoa,214,['Annual Report 2021-22 NCCP']
Pinevale,QLD,Rural locality,Mackay,55,"['Climate-Change-Policy-089', 'Environmental-Sustainability-Strategy-PartsA,BandC', 'Environmental-Sustainability-Strategy-PartD-Action-Plan']"
Stanthorpe,QLD,Urban locality,Southern Downs,64,"['Southern-Downs-Environmental-Sustainability-StrategyFINAL', 'ESS-Action-Plan', 'Climate-Change-Adaptation-Action-Plan']"
Stapylton,QLD,Major Urban locality,Gold Coast,33,"['Council-plan-2022-2027', 'onc-strategy-2032', 'onc-strategy-2032-implementation-overview']"
Tipton,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Cona Creek,QLD,Rural locality,Central Highlands,93,['Annual-Report-2021-2022-NCCP']
Kings Plains,NSW,Rural locality,Blayney,32,['Community Strategic Plan April 2022']
Kulwin,NSW,Rural locality,Cobar,20,['Community Strategic Plan Cobar Shire 2025']
Hutton Creek,QLD,Rural locality,Maranoa,214,['Annual Report 2021-22 NCCP']
Beecroft Peninsula,NSW,Rural locality,Shoalhaven,5,['Sustainability and Climate Policy']
Oaky Creek,QLD,Rural locality,Scenic Rim,71,"['CLIMATE-CHANGE-STATEMENT-OF-INTENT', 'Scenic-Rim-Biodiversity-Strategy', 'Community-Plan-2011-2016-CCS-Agenda-18-Sept-2018']"
Oyster Creek,QLD,Rural locality,Gladstone,41,"['Council tackles climate change at local level Media Release', 'Biodiversity Conservation Strategic Plan 2016-2025', 'Environment Policy']"
Trotter Creek,QLD,Rural locality,Rockhampton,73,"['RRC-Sustainability-Strategy-2022-2030', 'RRC-ES-FY22-23-Year-in-Review', 'RRC-Environmental-Sustainability-Strategy-Year-in-Review-2021-22', 'Environmental-Sustainability-Policy-V3-Reviewed-10-December-2019', 'Fleet-Vehicle-Greenhouse-Gas-Emissions-Reduction-Policy-V2-Reviewed-18-December-2019']"
Stratford,QLD,Major Urban locality,Cairns,6,"['v4-Corporate-Sustainability-General-Policy', 'Youth Climate Summit 2019-Outcomes']"
Radford,QLD,Rural locality,Scenic Rim,71,"['CLIMATE-CHANGE-STATEMENT-OF-INTENT', 'Scenic-Rim-Biodiversity-Strategy', 'Community-Plan-2011-2016-CCS-Agenda-18-Sept-2018']"
Durah,QLD,Rural locality,Western Downs,49,['final-wdrc-annual-report-2021-22NCCP']
Durawah,WA,Rural locality,Chapman Valley,77,['Annual Report 2021-2022 NCCP']
North Maclagan,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Maclagan,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
